POLICY_ID,AGENT_ID,CUST_ID,POLICY_TYPE,POLICY_DURATION,PAYMENT_FREQ,PREMIUM_AMOUNT,PAYMENT_LAG,PAYMENT_METHOD,RENEWAL_COUNT,PAYMENT_FLAG_BEFORE_3MONTHS,POLICY_CANCELLATION_FLAG,CANCELLATION_REASON,SALES_CHANNEL,POLICY_STATUS,RENEWAL_DATE
N000000000,21605709,400600000,basic,24,quarterly,6168,25,cash,4,1,0,,web,Renewed,1748304000000
N000000001,17110992,400600000,basic,24,semi-annual,6888,27,ach,0,1,1,customer request,web,Cancelled,1805932800000
N000000002,21247958,400600001,comprehensive,24,annual,9081,11,credit card,1,1,0,,phone,Renewed,1744588800000
N000000003,18330666,400600001,premium,60,semi-annual,38592,16,ach,3,0,0,,partner,Cancelled,1850601600000
N000000004,17754699,400600006,comprehensive,48,monthly,22176,24,bank transfer,2,1,0,,phone,Active,1873497600000
N000000005,9396599,400600006,basic,36,semi-annual,6012,7,bank transfer,0,0,0,,phone,Renewed,1835049600000
N000000006,9154763,400600009,comprehensive,36,annual,31680,7,bank transfer,2,1,0,,partner,Renewed,1806278400000
N000000007,18407540,400600009,premium,24,semi-annual,8716,1,check,3,0,0,,partner,Lapsed,1742342400000
N000000008,15976438,400600013,basic,48,quarterly,18432,13,bank transfer,1,1,0,,agent,Cancelled,1825977600000
N000000009,21549471,400600022,comprehensive,60,semi-annual,25476,3,ach,3,0,0,,phone,Renewed,1826668800000
N000000010,729780,400600022,comprehensive,12,quarterly,6837,1,credit card,2,1,0,,partner,Active,1694995200000
N000000011,20389488,400600028,comprehensive,36,quarterly,35956,26,cash,0,1,0,,partner,Lapsed,1769817600000
N000000012,17693533,400600033,premium,60,monthly,46944,8,bank transfer,1,1,0,,phone,Active,1864425600000
N000000013,4775681,400600033,comprehensive,12,semi-annual,3775,21,ach,4,0,0,,partner,Cancelled,1780790400000
N000000014,21044579,400600035,comprehensive,24,semi-annual,21067,29,bank transfer,0,1,0,,partner,Renewed,1737676800000
N000000015,18764823,400600035,premium,48,annual,24499,1,debit card,0,0,0,,phone,Cancelled,1808784000000
N000000016,21480834,400600038,standard,48,annual,6969,2,debit card,1,1,0,,phone,Lapsed,1854748800000
N000000017,16239097,400600040,premium,12,quarterly,8390,3,credit card,0,0,0,,agent,Cancelled,1713657600000
N000000018,21160535,400600042,standard,12,monthly,2822,17,bank transfer,4,1,0,,phone,Lapsed,1725753600000
N000000019,21185854,400600042,standard,60,monthly,30240,13,cash,4,1,0,,phone,Active,1842393600000
N000000020,21360432,400600047,standard,48,monthly,23097,21,check,1,1,0,,agent,Lapsed,1801267200000
N000000021,19281599,400600051,premium,12,quarterly,5126,12,debit card,2,1,0,,agent,Renewed,1714867200000
N000000022,20736722,400600051,comprehensive,48,quarterly,50793,10,check,2,1,0,,phone,Cancelled,1799107200000
N000000023,8961840,400600056,comprehensive,24,monthly,14414,25,bank transfer,2,1,0,,agent,Lapsed,1799193600000
N000000024,20171444,400600057,premium,24,monthly,15168,0,bank transfer,3,0,0,,phone,Active,1799971200000
N000000025,21595837,400600059,basic,12,quarterly,1524,12,ach,1,1,0,,agent,Lapsed,1751068800000
N000000026,21535393,400600059,standard,12,semi-annual,5083,24,bank transfer,0,0,0,,web,Lapsed,1731024000000
N000000027,17518371,400600065,standard,12,quarterly,7012,29,check,4,1,0,,agent,Active,1769644800000
N000000028,19832583,400600067,comprehensive,60,quarterly,58080,24,debit card,3,0,0,,partner,Cancelled,1870646400000
N000000029,21086099,400600071,basic,36,annual,11628,29,credit card,4,1,0,,partner,Active,1797897600000
N000000030,1137832,400600071,basic,60,quarterly,28560,19,cash,4,0,0,,web,Cancelled,1844553600000
N000000031,21661109,400600082,comprehensive,60,monthly,20064,0,cash,4,1,0,,agent,Renewed,1868745600000
N000000032,20068239,400600095,premium,48,semi-annual,18739,6,debit card,3,1,0,,web,Cancelled,1810857600000
N000000033,20536990,400600096,basic,48,monthly,22080,26,bank transfer,3,1,0,,web,Cancelled,1792540800000
