campaign_id,name,goal,target_criteria,segment_size,created_at,status
CAM001,Q4 High-Value Focus,"Target high-NPS agents with declining sales for Q4 boost","{""nps_score"": ""high"", ""sales_trend"": ""declining""}",150,2025-09-15T10:30:00Z,completed
CAM002,Retention Champions,"Find agents with high retention rates but low cross-sell","{""retention_rate"": "">90%"", ""cross_sell_rate"": ""<20%""}",75,2025-09-20T14:45:00Z,completed
CAM003,Growth Accelerator,"Identify new agents with strong initial performance","{""tenure"": ""<1y"", ""sales_performance"": ""top_25%""}",95,2025-09-25T09:15:00Z,in_progress
CAM004,Customer Success Stars,"Target agents with highest customer satisfaction scores","{""csat_score"": "">4.5"", ""complaint_rate"": ""<5%""}",120,2025-09-28T16:20:00Z,pending
CAM005,Cross-Sell Champions,"Find experienced agents with high policy-per-customer ratio","{""tenure"": "">3y"", ""policies_per_customer"": "">2.5""}",85,2025-10-01T11:00:00Z,in_progress
CAM51515D37,XYZ campaign,Find veteran agents with declining NPS scores for proactive satisfaction recovery,"{""objective"": ""retention"", ""constraints"": [{""field"": ""AGENT_TENURE"", ""operator"": "">="", ""value"": 10}, {""field"": ""NPS_SCORE"", ""operator"": ""<="", ""value"": 6}], ""target_size"": 100, ""priority"": ""quality_over_quantity""}",8250,2025-10-05T10:11:27Z,planned
CAM6B9A81E5,Top performers engagement campaign,"Create a campaign for mid performing agents of target, with high NPS score.","{""objective"": ""engagement"", ""constraints"": [{""field"": ""NPS_SCORE"", ""operator"": "">="", ""value"": 8}, {""field"": ""NO_OF_UNIQUE_POLICIES_SOLD_LAST_12_MONTHS"", ""operator"": "">="", ""value"": 3}, {""field"": ""NO_OF_UNIQUE_POLICIES_SOLD_LAST_12_MONTHS"", ""operator"": ""<="", ""value"": 15}], ""target_size"": 200, ""priority"": ""balanced""}",14032,2025-10-05T15:05:52Z,planned
CAM09F50F8F,Accomplished Professionals Engagement Campaign,Create a campaign for Accomplished Professionals with moderate performance (4-8 policies sold) and good satisfaction (NPS 9+). Focus on helping them reach their next performance tier.,"{""objective"": ""engagement"", ""constraints"": [{""field"": ""Segment"", ""operator"": ""=="", ""value"": ""Accomplished Professionals""}, {""field"": ""NO_OF_UNIQUE_POLICIES_SOLD_LAST_12_MONTHS"", ""operator"": "">="", ""value"": 4}, {""field"": ""NO_OF_UNIQUE_POLICIES_SOLD_LAST_12_MONTHS"", ""operator"": ""<="", ""value"": 8}, {""field"": ""NPS_SCORE"", ""operator"": "">="", ""value"": 9}], ""target_size"": 500, ""priority"": ""quality_over_quantity""}",67,2025-10-05T16:43:34Z,planned
CAMCB6ECD0B,Accomplished Professionals Engagement Campaign2,Create a campaign for Accomplished Professionals with moderate performance (4-8 policies sold) and good satisfaction (NPS 8+). Focus on helping them reach their next performance tier.,"{""objective"": ""upsell"", ""constraints"": [{""field"": ""Segment"", ""operator"": ""=="", ""value"": ""Accomplished Professionals""}, {""field"": ""NO_OF_UNIQUE_POLICIES_SOLD_LAST_12_MONTHS"", ""operator"": "">="", ""value"": 4}, {""field"": ""NO_OF_UNIQUE_POLICIES_SOLD_LAST_12_MONTHS"", ""operator"": ""<="", ""value"": 8}, {""field"": ""NPS_SCORE"", ""operator"": "">="", ""value"": 8}], ""target_size"": 500, ""priority"": ""quality_over_quantity""}",94,2025-10-05T16:44:52Z,planned
CAM67112BD7,Accomplished Professionals Engagement Campaign3,Create a campaign for Accomplished Professionals with moderate performance (4-8 policies sold) and good satisfaction (NPS 7+). Focus on helping them reach their next performance tier.,"{""objective"": ""engagement"", ""constraints"": [{""field"": ""Segment"", ""operator"": ""=="", ""value"": ""Accomplished Professionals""}, {""field"": ""NO_OF_UNIQUE_POLICIES_SOLD_LAST_12_MONTHS"", ""operator"": "">="", ""value"": 4}, {""field"": ""NO_OF_UNIQUE_POLICIES_SOLD_LAST_12_MONTHS"", ""operator"": ""<="", ""value"": 8}, {""field"": ""NPS_SCORE"", ""operator"": "">="", ""value"": 7}], ""target_size"": 500, ""priority"": ""quality_over_quantity""}",116,2025-10-05T16:45:45Z,planned
CAM158138EC,Mid-Performance Excellence Campaign,"Create a campaign for agents with 4-8 years experience, solid performance (8-11 policies sold), and good satisfaction (NPS 7-8). Focus on helping them achieve excellence.","{""objective"": ""engagement"", ""constraints"": [{""field"": ""AGENT_TENURE"", ""operator"": "">="", ""value"": 4}, {""field"": ""AGENT_TENURE"", ""operator"": ""<="", ""value"": 8}, {""field"": ""NO_OF_UNIQUE_POLICIES_SOLD_LAST_12_MONTHS"", ""operator"": "">="", ""value"": 8}, {""field"": ""NO_OF_UNIQUE_POLICIES_SOLD_LAST_12_MONTHS"", ""operator"": ""<="", ""value"": 11}, {""field"": ""NPS_SCORE"", ""operator"": "">="", ""value"": 7}, {""field"": ""NPS_SCORE"", ""operator"": ""<="", ""value"": 8}], ""target_size"": 200, ""priority"": ""quality_over_quantity""}",554,2025-10-05T16:50:41Z,planned
