campaign_id,name,goal,target_criteria,segment_size,created_at,status
CAM001,Q4 High-Value Focus,"Target high-NPS agents with declining sales for Q4 boost","{""nps_score"": ""high"", ""sales_trend"": ""declining""}",150,2025-09-15T10:30:00Z,completed
CAM002,Retention Champions,"Find agents with high retention rates but low cross-sell","{""retention_rate"": "">90%"", ""cross_sell_rate"": ""<20%""}",75,2025-09-20T14:45:00Z,completed
CAM003,Growth Accelerator,"Identify new agents with strong initial performance","{""tenure"": ""<1y"", ""sales_performance"": ""top_25%""}",95,2025-09-25T09:15:00Z,in_progress
CAM004,Customer Success Stars,"Target agents with highest customer satisfaction scores","{""csat_score"": "">4.5"", ""complaint_rate"": ""<5%""}",120,2025-09-28T16:20:00Z,pending
CAM005,Cross-Sell Champions,"Find experienced agents with high policy-per-customer ratio","{""tenure"": "">3y"", ""policies_per_customer"": "">2.5""}",85,2025-10-01T11:00:00Z,in_progress
CAM51515D37,XYZ campaign,Find veteran agents with declining NPS scores for proactive satisfaction recovery,"{""objective"": ""retention"", ""constraints"": [{""field"": ""AGENT_TENURE"", ""operator"": "">="", ""value"": 10}, {""field"": ""NPS_SCORE"", ""operator"": ""<="", ""value"": 6}], ""target_size"": 100, ""priority"": ""quality_over_quantity""}",8250,2025-10-05T10:11:27Z,planned
CAM7A471232,Trial Segment,Create a campaign population targeting high NPS agents with declining sales; provide 360 profiling and Q4 targeting,"{""objective"": ""retention"", ""constraints"": [{""field"": ""NPS_SCORE"", ""operator"": "">="", ""value"": 8}, {""field"": ""NO_OF_UNIQUE_POLICIES_SOLD_LAST_12_MONTHS"", ""operator"": ""<"", ""value"": 5}], ""target_size"": 500, ""priority"": ""quality_over_quantity""}",4183,2025-10-05T10:31:40Z,planned
CAMA1E7481E,Trial Campaign,Create a campaign population targeting high NPS agents with declining sales; provide 360 profiling and Q4 targeting,"{""objective"": ""retention"", ""constraints"": [{""field"": ""NPS_SCORE"", ""operator"": "">="", ""value"": 8}, {""field"": ""NO_OF_UNIQUE_POLICIES_SOLD_LAST_12_MONTHS"", ""operator"": ""<"", ""value"": 5}], ""target_size"": 500, ""priority"": ""quality_over_quantity""}",4183,2025-10-05T10:41:42Z,planned
CAM0ECE5FAF,Trial Campaign,Create a campaign population targeting high NPS agents with declining sales; provide 360 profiling and Q4 targeting,"{""objective"": ""retention"", ""constraints"": [{""field"": ""NPS_SCORE"", ""operator"": "">="", ""value"": 8}, {""field"": ""NO_OF_UNIQUE_POLICIES_SOLD_LAST_12_MONTHS"", ""operator"": ""<"", ""value"": 5}], ""target_size"": 500, ""priority"": ""quality_over_quantity""}",4183,2025-10-05T10:43:21Z,planned
CAMB63AF967,New Campaign,Create a campaign population targeting high NPS agents with declining sales; provide 360 profiling and Q4 targeting,"{""objective"": ""retention"", ""constraints"": [{""field"": ""NPS_SCORE"", ""operator"": "">="", ""value"": 8}, {""field"": ""NO_OF_UNIQUE_POLICIES_SOLD_LAST_12_MONTHS"", ""operator"": ""<"", ""value"": 5}], ""target_size"": 500, ""priority"": ""quality_over_quantity""}",4183,2025-10-05T10:44:52Z,planned
CAMC2626B80,Trial Campaign,Create a campaign population targeting high NPS agents with declining sales; provide 360 profiling and Q4 targeting,"{""objective"": ""retention"", ""constraints"": [{""field"": ""NPS_SCORE"", ""operator"": "">="", ""value"": 8}, {""field"": ""NO_OF_UNIQUE_POLICIES_SOLD_LAST_12_MONTHS"", ""operator"": ""<"", ""value"": 5}], ""target_size"": 500, ""priority"": ""quality_over_quantity""}",4183,2025-10-05T10:50:08Z,planned
CAM1DC52C56,New Campiagn,Create a campaign population targeting high NPS agents with declining sales; provide 360 profiling and Q4 targeting,"{""objective"": ""retention"", ""constraints"": [{""field"": ""NPS_SCORE"", ""operator"": "">="", ""value"": 8}, {""field"": ""NO_OF_UNIQUE_POLICIES_SOLD_LAST_12_MONTHS"", ""operator"": ""<"", ""value"": 5}], ""target_size"": 500, ""priority"": ""quality_over_quantity""}",4183,2025-10-05T10:51:51Z,planned
CAMC79509A9,Try,Create a campaign population targeting high NPS agents with declining sales; provide 360 profiling and Q4 targeting,"{""objective"": ""retention"", ""constraints"": [{""field"": ""NPS_SCORE"", ""operator"": "">="", ""value"": 8}, {""field"": ""NO_OF_UNIQUE_POLICIES_SOLD_LAST_12_MONTHS"", ""operator"": ""<"", ""value"": 5}], ""target_size"": 500, ""priority"": ""quality_over_quantity""}",4183,2025-10-05T10:58:41Z,planned
CAMC30DB77D,Hello,Create a campaign population targeting high NPS agents with declining sales; provide 360 profiling and Q4 targeting,"{""objective"": ""retention"", ""constraints"": [{""field"": ""NPS_SCORE"", ""operator"": "">="", ""value"": 8}, {""field"": ""NO_OF_UNIQUE_POLICIES_SOLD_LAST_12_MONTHS"", ""operator"": ""<"", ""value"": 5}], ""target_size"": 500, ""priority"": ""quality_over_quantity""}",4183,2025-10-05T11:00:05Z,planned
